
2025/05/02 (06:16:51) | ===> btop++ v.1.4.0
2025/05/02 (06:16:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (06:36:45) | ===> btop++ v.1.4.0
2025/05/02 (06:36:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (15:41:04) | ===> btop++ v.1.4.0
2025/05/02 (15:41:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (16:12:36) | ===> btop++ v.1.4.0
2025/05/02 (16:12:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/02 (16:54:13) | ===> btop++ v.1.4.0
2025/05/02 (16:54:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
